# Complete SFS list from Riksdagen API
# Fetched: 2025-12-11T20:09:49.063Z
# API reported: 11397, Unique dok_ids: 11397, Unique SFS: 11265
# Format: SFS\tDATE\tDOK_ID\tTITLE
#
	1867-05-08	c0s0riksb	för Riksbankens styrelse oeh förvaltning, utfärdad! den 8 Maj 1867
1989:2	1989-02-01	sfs-1989-2	Försäkringsinspektionens Kungörelse (1989:2) om ändring av vissa skadelivräntor
1989:204	1989-05-03	sfs-1989-204	/r1/ Förordning (1989:204) med instruktion för statens sjöhistoriska museum;
1989:205	1989-04-20	sfs-1989-205	Förordning (1989:205) om byggnads- och reparationsberedskapen
1989:216	1989-05-11	sfs-1989-216	Förordning (1989:216) om kemikalieavgifter
1989:225	1989-05-18	sfs-1989-225	Lag (1989:225) om ersättning till smittbärare
1989:226	1989-05-18	sfs-1989-226	Förordning (1989:226) med bemyndigande för riksförsäkringsverket att meddela föreskrifter för verkställighet av lagen (1989:225) om ersättning till smittbärare
1989:228	1989-05-18	sfs-1989-228	Förordning (1989:228) med bemyndigande för riksförsäkringsverket att meddela föreskrifter för verkställighet av lagen (1988:1465) om ersättning och ledighet för närståendevård
1989:24	1989-02-02	sfs-1989-24	Förordning (1989:24) om medelvärde för år 1988 enligt övergångsbestämmelserna till förordningen (1987:860) om statsbidrag till kommunerna för barnomsorg
1989:248	1989-05-18	sfs-1989-248	Förordning (1989:248) med instruktion för Riksgäldskontoret
1989:253	1989-05-18	sfs-1989-253	Lag (1989:253) om allmänna helgdagar
1989:26	1989-02-02	sfs-1989-26	Förordning (1989:26) om ersättning för statlig högskoleutbildning från landsting
1989:263	1989-05-11	sfs-1989-263	Förordning (1989:263) om särskild hastighetsbegränsning
1989:265	1989-05-18	sfs-1989-265	/r1/ Förordning (1989:265) om förrättningsavgifter för Aktiebolaget Svensk Bilprovning;
1989:27	1989-02-02	sfs-1989-27	Förordning (1989:27) om beredskapslagring av olja och kol m. m. under lagringsåret 1989/90
1989:270	1989-05-03	sfs-1989-270	Förordning (1989:270) med instruktion för Styrelsen för ackreditering och teknisk kontroll
1989:271	1989-05-11	sfs-1989-271	Förordning (1989:271) om statsbidrag till andra trossamfund än svenska kyrkan
1989:272	1989-05-11	sfs-1989-272	Förordning (1989:272) med instruktion för Samarbetsnämnden för statsbidrag till trossamfund
1989:281	1989-05-11	sfs-1989-281	Förordning (1989:281) om Jordfonden
1989:285	1989-05-18	sfs-1989-285	/r1/ Lag (1989:285) med särskilda bestämmelser om bostadsbidrag för år 1990;
1989:288	1989-05-18	sfs-1989-288	Förordning (1989:288) om stöd till allmänna samlingslokaler
1989:29	1989-02-02	sfs-1989-29	Förordning (1989:29) om säkerhetsanalyser av statliga myndigheters ADB-system
1989:290	1989-05-18	sfs-1989-290	Karantänslag (1989:290)
1989:301	1989-05-18	sfs-1989-301	Smittskyddsförordning (1989:301)
1989:302	1989-05-18	sfs-1989-302	Karantänsförordning (1989:302)
1989:31	1989-01-19	sfs-1989-31	Lag (1989:31) om förvaltning av vissa samägda jordbruksfastigheter
1989:329	1989-05-25	sfs-1989-329	Lag (1989:329) om en folk- och bostadsräkning år 1990
1989:330	1989-05-25	sfs-1989-330	Förordning (1989:330) om folk- och bostadsräkningen år 1990
1989:340	1989-05-11	sfs-1989-340	Förordning (1989:340) om riksfärdtjänst
1989:346	1989-06-01	sfs-1989-346	Lag (1989:346) om särskild vinstskatt
1989:364	1989-05-11	sfs-1989-364	Miljöskyddsförordning (1989:364)
1989:365	1989-05-25	sfs-1989-365	Förordning (1989:365) om miljöskadeförsäkring
1989:372	1989-05-25	sfs-1989-372	Förordning (1989:372) om intagning i gymnasieskolan av sökande bos atta i annat nordiskt land;
1989:374	1989-05-25	sfs-1989-374	/r1/ Förordning (1989:374) om statsbidrag för undervisning på grundskolenivå vid riksinternatskolor och vissa privatskolor;
1989:380	1989-05-18	sfs-1989-380	Förordning (1989:380) om samordning av statlig pensionsrätt med pensionsrätt på grund av anställning hos vissa bolag
1989:40	1989-02-02	sfs-1989-40	/r1/ Förordning (1989:40) om försöksverksamhet med insamling och bortforsling av förbrukade blyackumulatorer;
1989:400	1989-04-27	sfs-1989-400	Budgetförordning (1989:400);
1989:402	1989-06-01	sfs-1989-402	Lag (1989:402) om försök med förkortad grundutbildning av värnpliktiga
1989:409	1989-06-01	sfs-1989-409	/r1/ Förordning (1989:409) om belopp per ålders- och förtidspensionär för år 1988 enligt förordningen (1983:944) om statsbidrag till kommunerna för stöd och hjälp i boendet;
1989:41	1989-02-09	sfs-1989-41	Lag (1989:41) om finansiering av radio och TV i allmänhetens tjänst
1989:413	1989-06-01	sfs-1989-413	Förordning (1989:413) om stöd till fruktodling;
1989:420	1989-06-01	sfs-1989-420	Förordning (1989:420) om elektrisk materiel
1989:422	1989-05-25	sfs-1989-422	/r1/ Förordning (1989:422) om statsbidrag till eftermontering av avgasrening på äldre bilar;
1989:423	1989-05-25	sfs-1989-423	/r1/ Förordning (1989:423) om statsbidrag till avgasrening av vissa nya bilar;
1989:425	1989-05-25	sfs-1989-425	Lag (1989:425) om särskilda inskolningsplatser hos offentliga arbetsgivare;
1989:439	1989-05-25	sfs-1989-439	/r1/ Förordning (1989:439) om statsbidrag till verksamheten med särskilda inskolningsplatser hos offentliga arbetsgivare;
1989:442	1989-06-01	sfs-1989-442	/r1/ Lag (1989:442) om tillämpning av valutalagen (1939:350);
1989:447	1989-06-01	sfs-1989-447	Förordning (1989:447) om förmåner m.m. till viss hälso- och sjukvårdspersonal vid tjänstgöring inom försvarsmakten
1989:457	1989-06-01	sfs-1989-457	Förordning (1989:457) om uttagning av civilförsvarspliktiga till särskilda civila sjukvårdsenheter
1989:46	1989-02-09	sfs-1989-46	Förordning (1989:46) om finansiering av radio och TV i allmänhetens tjänst
1989:47	1989-02-09	sfs-1989-47	Förordning (1989:47) med vissa bestämmelser om radiomottagare, m. m.;
1989:471	1989-06-08	sfs-1989-471	Lag (1989:471) om investeringsskatt för vissa byggnadsarbeten
1989:473	1989-06-08	sfs-1989-473	Förordning (1989:473) om investeringsskatt för vissa byggnadsarbeten
1989:474	1989-06-08	sfs-1989-474	Lag (1989:474) om tillfälligt sparande
1989:476	1989-06-08	sfs-1989-476	Lag (1989:476) om viss tillfällig höjning av uttaget av statlig fastighetsskatt
1989:479	1989-06-08	sfs-1989-479	Lag (1989:479) om ersättning för kostnader i ärenden och mål om skatt, m.m.
1989:48	1989-02-09	sfs-1989-48	Förordning (1989:48) om skyldighet att anmäla överlåtelse och uthyrning av TV-mottagare
1989:480	1989-05-18	sfs-1989-480	Förordning (1989:480) om statens utlåningsränta och statens avkastningsränta under budgetåret 1989/90
1989:484	1989-06-08	sfs-1989-484	Lag (1989:484) om arbetsmiljöavgift;
1989:485	1989-06-08	sfs-1989-485	/r1/ Förordning (1989:485) med bemyndigande för riksförsäkringsverket att fastställa procentsatser för arbetsmiljöavgift för sjömän;
1989:489	1989-06-08	sfs-1989-489	Lag (1989:489) om beskattning av dödsbos skogskontomedel m. m. i vissa fall
1989:500	1989-06-08	sfs-1989-500	Förordning (1989:500) om vissa särskilda insatser på kulturområdet
1989:508	1989-06-08	sfs-1989-508	Lag (1989:508) om försäkringsmäklare
1989:517	1989-06-08	sfs-1989-517	Förordning (1989:517) med instruktion för Statens arbetsgivarverk
1989:526	1989-06-08	sfs-1989-526	Förordning (1989:526) om kontroll genom teknisk provning och om mätning
1989:527	1989-06-08	sfs-1989-527	Förordning (1989:527) om riksmätplatser
1989:529	1989-06-08	sfs-1989-529	Utlänningslag (1989:529)
1989:53	1989-02-16	sfs-1989-53	Förordning (1989:53) om medelvärde för år 1988 enligt förordningen (1983:944) om statsbidrag till kommunerna för stöd och hjälp i boendet
1989:530	1989-06-08	sfs-1989-530	Lag (1989:530) om åtgärder för att förebygga våldsdåd med internationell bakgrund (terroristlag)
1989:532	1989-06-08	sfs-1989-532	Lag (1989:532) om tillstånd för anställning på fartyg
1989:547	1989-06-08	sfs-1989-547	Utlänningsförordning (1989:547)
1989:548	1989-06-08	sfs-1989-548	Förordning (1989:548) om tillstånd för anställning på fartyg
1989:56	1989-02-23	sfs-1989-56	Förordning (1989:56) om tillsättning av vissa tjänster vid arbetsmiljöinstitutet
1989:567	1989-06-08	sfs-1989-567	Lag (1989:567) om ändrade betalningsvillkor för vissa statliga bostadslån m.m.
1989:57	1989-02-23	sfs-1989-57	Förordning (1989:57) om tillsättning av tjänst som professor vid arbetsmiljöinstitutet;
1989:573	1989-06-08	sfs-1989-573	Förordning (1989:573) om ändrade villkor för vissa lån som beviljats för anordnande av studentbostäder
1989:590	1989-06-14	sfs-1989-590	/r1/ Förordning (1989:590) om avgifter för den statliga kontrollen av läkemedel m. m. för tiden den 1 juli 1989--den 30 juni 19901;
1989:598	1989-06-08	sfs-1989-598	Förordning (1989:598) om avgift för myndigheters verksamhet enligt miljöskyddslagen (1969:387)
1989:6	1989-01-12	sfs-1989-6	Förordning (1989:6) med instruktion för domkapitlen
1989:60	1989-02-23	sfs-1989-60	Förordning (1989:60) om tillsättning av tjänster vid statens energiverk
1989:600	1989-06-01	sfs-1989-600	/r1/ Förordning (1989:600) med instruktion för statens telenämnd;
1989:604	1989-06-14	sfs-1989-604	/r1/ Förordning (1989:604) om tillsättning av tjänster vid riksgäldskontoret;
1989:61	1989-02-02	sfs-1989-61	Riksbankens föreskrifter (1989:61) om rikets mynt
1989:614	1989-06-08	sfs-1989-614	/r1/ Förordning (1989:614) om statsbidrag till vissa handikappåtgärder m. m. inom kommunal utbildning för vuxna;
1989:62	1989-02-02	sfs-1989-62	Riksbankens föreskrifter (1989:62) om minnesmynt på ettusen och tvåhundra kronor
1989:624	1989-06-08	sfs-1989-624	Förordning (1989:624) om försök med förkortad grundutbildning av värnpliktiga
1989:631	1989-06-01	sfs-1989-631	Förordning (1989:631) med instruktion för Försörjningskommissionen
1989:632	1989-06-14	sfs-1989-632	/r1/ Förordning (1989:632) om försöksverksamhet i fråga om institutionsstyrelserna m. m. vid Sveriges lantbruksuniversitet;
1989:634	1989-06-14	sfs-1989-634	Lag (1989:634) om procentsats för uttag av avgift för åren 1990-1994 till försäkringen för tilläggspension
1989:640	1989-06-14	sfs-1989-640	/r1/ Förordning (1989:640) om lärarresurser i sameskolan;
1989:67	1989-02-23	sfs-1989-67	Förordning (1989:67) om plan för stomjärnvägar
1989:671	1989-06-06	sfs-1989-671	Kammarkollegiets föreskrifter (1989:671) om biskopsgårds förvaltning, m. m.;
1989:672	1989-06-06	sfs-1989-672	Kammarkollegiets föreskrifter (1989:672) om beräkning av pastoratens andelar i prästlönefondsfastigheter och boställsskog;
1989:673	1989-06-06	sfs-1989-673	Kammarkollegiets föreskrifter (1989:673) om uppgifter som egendomsnämndens förteckning över den kyrkliga jorden och pastoratens prästlönefonder skall innehålla;
1989:676	1989-06-21	sfs-1989-676	Lag (1989:676) om dubbelbeskattningsavtal mellan Sverige och Thailand
1989:677	1989-06-21	sfs-1989-677	Förordning (1989:677) om dubbelbeskattningsavtal mellan Sverige samt Storbritannien och Nordirland beträffande skatter på kvarlåtenskap, arv och gåva
1989:686	1989-06-29	sfs-1989-686	Lag (1989:686) om dubbelbeskattningsavtal mellan Sverige och Cypern
1989:690	1989-07-01	sfs-1989-690	/r1/ Riksgäldskontorets föreskrifter (1989:690) om gällande räntesats för allemanssparandet;
1989:691	1989-06-29	sfs-1989-691	Lag (1989:691) om dubbelbeskattningsavtal mellan Sverige och Indonesien
1989:696	1989-07-13	sfs-1989-696	/r1/ Förordning (1989:696) om provisorisk antidumpningstull på vissa träfiberskivor;
1989:698	1989-07-13	sfs-1989-698	Förordning (1989:698) om tillämpning av en överenskommelse mellan Sverige och Spanien om ömsesidigt administrativt bistånd i tullfrågor
1989:7	1989-01-12	sfs-1989-7	Förordning (1989:7) med instruktion för Ansvarsnämnden för biskopar
1989:704	1989-07-13	sfs-1989-704	Förordning (1989:704) om interkommunal ersättning för elever i grundskolan och gymnasieskolan under vårterminen 1990 och höstterminen 1990
1989:716	1989-07-27	sfs-1989-716	Riksbankens föreskrifter (1989:716) om utgivande av sedlar på femhundra kronor;
1989:719	1989-08-10	sfs-1989-719	/r1/ Förordning (1989:719) om gemensam nordisk arbetsmarknad för vissa lärarkategorier;
1989:731	1989-08-17	sfs-1989-731	Förordning (1989:731) om godtagande av byggprodukter som godkänts i annat nordiskt land
1989:734	1989-08-10	sfs-1989-734	/r1/ Riksgäldskontorets föreskrifter (1989:734) om gällande inlåningsränta i ungdomsbosparandet
1989:757	1989-08-24	sfs-1989-757	Förordning (1989:757) med instruktion för vapenfristyrelsen
1989:759	1989-08-24	sfs-1989-759	Förordning (1989:759) med instruktion för Totalförsvarets tjänstepliktsnämnd
1989:773	1989-09-07	sfs-1989-773	Förordning (1989:773) med instruktion för Rikspolisstyrelsen
1989:774	1989-06-29	sfs-1989-774	Förordning (1989:774) med instruktion för Byggnadsstyrelsen
1989:78	1989-03-09	sfs-1989-78	/r1/ Tillkännagivande (1989:78) om kungörande m. m. i fråga om konventionen den 11 april 1980 angående avtal om internationella köp;
1989:781	1989-08-29	sfs-1989-781	/r1/ Riksgäldskontorets föreskrifter (1989:781) om gällande räntesats för allemanssparandet;
1989:784	1989-09-07	sfs-1989-784	/r1/ Tillkännagivande (1989:784) av främmande staters anslutning till vissa av Sverige biträdda konventioner angående inbördes rättshjälp, m. m.;
1989:791	1989-09-28	sfs-1989-791	/r1/ Förordning (1989:791) om statsbidrag till specialpedagogiska insatser för vissa förskolebarn;
1989:8	1989-01-12	sfs-1989-8	Lag (1989:8) om kyrkomusiken i svenska kyrkan
1989:809	1989-10-12	sfs-1989-809	Förordning (1989:809) om riksgränsen mellan Sverige och Norge
1989:810	1989-10-12	sfs-1989-810	Förordning (1989:810) om avgift för efterforskning av personer bosatta utomlands
1989:813	1989-10-19	sfs-1989-813	Förordning (1989:813) om dubbelbeskattningsavtal mellan Sverige och Indonesien
1989:814	1989-10-19	sfs-1989-814	Förordning (1989:814) om dubbelbeskattningsavtal mellan Sverige och Thailand
1989:818	1989-10-19	sfs-1989-818	Riksbankens Föreskrifter (1989:818) om utgivande av sedlar på ett tusen kronor
1989:824	1989-11-09	sfs-1989-824	Förordning (1989:824) om statligt stöd till fartygsfinansiering
1989:827	1989-11-23	sfs-1989-827	Aktiekontolag (1989:827)
1989:828	1989-11-23	sfs-1989-828	Lag (1989:828) om införande av aktiekontolagen (1989:827)
1989:829	1989-11-23	sfs-1989-829	Lag (1989:829) om Värdepapperscentralen VPC Aktiebolag
1989:84	1989-03-09	sfs-1989-84	Prästanställningsförordning (1989:84)
1989:844	1989-11-23	sfs-1989-844	Förordning (1989:844) om ikraftträdande av aktiekontolagen (1989:827) m.m.
1989:845	1989-11-23	sfs-1989-845	Aktiekontoförordning (1989:845)
1989:847	1989-11-16	sfs-1989-847	Förordning (1989:847) med instruktion för Riksåklagaren
1989:848	1989-11-16	sfs-1989-848	Åklagarförordning (1989:848)
1989:851	1989-11-16	sfs-1989-851	Förordning (1989:851) om försöksverksamhet vid Göteborgs tingsrätt med delegering av vissa arbetsuppgifter
1989:853	1989-11-16	sfs-1989-853	Lag (1989:853) med tillfälliga bestämmelser om pälsdjursuppfödares investeringsreserv;
1989:854	1989-11-09	sfs-1989-854	Förordning (1989:854) om försäkringsmäklare
1989:858	1989-11-02	sfs-1989-858	Förordning (1989:858) om ersättningslån för bostadsändamål
1989:868	1989-11-02	sfs-1989-868	Förordning (1989:868) om uppsägning av vissa statslån till bostadsbyggande m.m.
1989:88	1989-03-09	sfs-1989-88	Förordning (1989:88) om förvaltningen av kyrklig jord
1989:89	1989-03-09	sfs-1989-89	Förordning (1989:89) om tjänstebostäder för biskopar och präster
1989:891	1989-11-16	sfs-1989-891	Förordning (1989:891) om statsbidrag till enskild väghållning
1989:894	1989-11-23	sfs-1989-894	Lag (1989:894) om dubbelbeskattningsavtal mellan Sverige och Zimbabwe
1989:896	1989-11-23	sfs-1989-896	Förordning (1989:896) om vissa bidrag till jordbruksföretag
1989:899	1989-11-30	sfs-1989-899	Lag (1989:899) om dubbelbeskattningsavtal mellan Danmark, Finland, Island, Norge och Sverige beträffande skatter på arv och på gåva;
1989:9	1989-01-12	sfs-1989-9	/r1/ Förordning (1989:9) om statligt bidrag till vissa bemanningskostnader;
1989:900	1989-11-23	sfs-1989-900	Förordning (1989:900) om dubbelbeskattningsavtal mellan Sverige och Filippinerna
1989:901	1989-11-23	sfs-1989-901	Förordning (1989:901) om dubbelbeskattningsavtal mellan Sverige och Cypern
1989:902	1989-11-23	sfs-1989-902	/r1/ Förordning (1989:902) om beräkning av vissa statliga avgifter för år 1990;
1989:924	1989-12-07	sfs-1989-924	Totalförsvarets budgetförordning (1989:924)
1989:928	1989-12-07	sfs-1989-928	Lag (1989:928) om samhällstjänst
1989:929	1989-12-07	sfs-1989-929	Förordning (1989:929) om ersättning av allmänna medel för skada orsakad av den som utför samhällstjänst
1989:933	1989-11-23	sfs-1989-933	Lag (1989:933) om dubbelbeskattningsavtal mellan de nordiska länderna
1989:947	1989-11-16	sfs-1989-947	/r1/ Förordning (1989:947) om klassificering av vissa fordon som trafiktraktorer;
1989:957	1989-12-07	sfs-1989-957	Förordning (1989:957) om dubbelbeskattningsavtal mellan de nordiska länderna
1989:967	1989-11-30	sfs-1989-967	/r1/ Förordning (1989:967) om statligt reglerade anställningar hos Stiftelsen Tekniska museet;
1989:968	1989-11-30	sfs-1989-968	/r1/ Förordning (1989:968) om statligt reglerade anställningar hos Svenska språknämnden;
